timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
88451533,1.2975951,-0.9783008,-0.6866529
88472522,1.2983066,-0.9783008,-0.6866416
88494479,1.2983067,-0.9785372,-0.6866496
88516513,1.2983065,-0.97806466,-0.6866335
88538570,1.2976041,-0.9782816,-0.6872152
88561811,1.298311,-0.9782912,-0.68692267
88584569,1.298302,-0.9783104,-0.6863604
88606037,1.2990183,-0.9783008,-0.68663025
88626773,1.298311,-0.9782912,-0.68692267
88647575,1.2983066,-0.9783008,-0.6866416
88669798,1.2983066,-0.9783008,-0.6866416
88691546,1.298311,-0.9782912,-0.68692267
88713987,1.2983066,-0.9783008,-0.6866416
88735535,1.298311,-0.9782912,-0.68692267
88757803,1.2983155,-0.9782816,-0.6872039
88781803,1.2983066,-0.9783008,-0.6866416
88803534,1.2975951,-0.9783008,-0.6866529
88824519,1.298302,-0.9783104,-0.6863604
88846989,1.298166,-0.97576195,-0.67782915
88871011,1.2983065,-0.97806466,-0.6866335
88895007,1.2975862,-0.9785564,-0.6860987
88918994,1.2997165,-0.978566,-0.68578357
88940479,1.2990133,-0.97736496,-0.68631685
88962483,1.2983019,-0.97807425,-0.6863524
88985559,1.2990093,-0.9785564,-0.68607605
89007842,1.2983156,-0.978518,-0.68721193
89029551,1.2975907,-0.9785468,-0.68637985
89052100,1.2983067,-0.9785372,-0.6866496
89073560,1.2982976,-0.9785564,-0.68608737
89094472,1.2983067,-0.9785372,-0.6866496
89115593,1.2983067,-0.9785372,-0.6866496
89138469,1.2983067,-0.9785372,-0.6866496
89160599,1.2983155,-0.9782816,-0.6872039
89184603,1.298302,-0.9783104,-0.6863604
89208605,1.298311,-0.9782912,-0.68692267
89230475,1.2983022,-0.9785468,-0.68636847
89252931,1.2983067,-0.9785372,-0.6866496
89274474,1.2932947,-0.97931355,-0.6847852
89296624,1.2983022,-0.9785468,-0.68636847
89318476,1.2983067,-0.9785372,-0.6866496
89340899,1.2983022,-0.9785468,-0.68636847
89362480,1.2982976,-0.9785564,-0.68608737
89383532,1.2983111,-0.9785276,-0.6869308
89405801,1.2983067,-0.9785372,-0.6866496
89428535,1.2983068,-0.9787737,-0.6866577
89450468,1.2975907,-0.9785468,-0.68637985
89472533,1.2983067,-0.9785372,-0.6866496
89496576,1.2983067,-0.9785372,-0.6866496
89517761,1.2983067,-0.9785372,-0.6866496
89538531,1.2983111,-0.9785276,-0.6869308
89559584,1.2975953,-0.9785372,-0.68666095
89580567,1.2983066,-0.9783008,-0.6866416
89601600,1.2975953,-0.9785372,-0.68666095
89622942,1.298302,-0.9783104,-0.6863604
89643635,1.298311,-0.9782912,-0.68692267
89664558,1.2983066,-0.9783008,-0.6866416
89688523,1.2975951,-0.9783008,-0.6866529
89710505,1.2990227,-0.9782912,-0.68691134
89732524,1.298311,-0.9782912,-0.68692267
89754509,1.2983156,-0.978518,-0.68721193
89777813,1.2983067,-0.9785372,-0.6866496
89799583,1.2983111,-0.9785276,-0.6869308
89821814,1.2976086,-0.9785084,-0.6875044
89844518,1.2983111,-0.9785276,-0.6869308
89866475,1.2983067,-0.9785372,-0.6866496
89887604,1.2976042,-0.978518,-0.6872233
89910737,1.2983156,-0.978518,-0.68721193
89931628,1.2975997,-0.9785276,-0.6869421
89952568,1.2983111,-0.9785276,-0.6869308
89975581,1.2983156,-0.978518,-0.68721193
89998571,1.2983067,-0.9785372,-0.6866496
90020519,1.2983111,-0.9785276,-0.6869308
90043028,1.2975953,-0.9785372,-0.68666095
90064512,1.2983111,-0.9785276,-0.6869308
90087334,1.29832,-0.9785084,-0.6874931
90108518,1.2983067,-0.9785372,-0.6866496
90131009,1.2975997,-0.9785276,-0.6869421
90155036,1.2968925,-0.978518,-0.68723464
90179027,1.2975953,-0.9785372,-0.68666095
90203547,1.2983112,-0.9787641,-0.6869388
90227554,1.2983023,-0.9787833,-0.6863766
90250996,1.2983158,-0.9787545,-0.68722004
90272536,1.2976043,-0.9787545,-0.68723136
90293556,1.2983156,-0.978518,-0.68721193
90316468,1.2983111,-0.9785276,-0.6869308
90338481,1.2976042,-0.978518,-0.6872233
90360905,1.2983158,-0.9787545,-0.68722004
90383551,1.2975998,-0.9787641,-0.68695015
90406516,1.2983111,-0.9785276,-0.6869308
90427579,1.2983111,-0.9785276,-0.6869308
90448971,1.2983067,-0.9785372,-0.6866496
90469575,1.2983111,-0.9785276,-0.6869308
90490572,1.2990317,-0.9785084,-0.68748176
90511585,1.2975954,-0.9787737,-0.68666905
90532566,1.2983067,-0.9785372,-0.6866496
90553987,1.2983111,-0.9785276,-0.6869308
90577800,1.2976086,-0.9785084,-0.6875044
90600583,1.2983067,-0.9785372,-0.6866496
90624517,1.2983068,-0.9787737,-0.6866577
90646471,1.2983067,-0.9785372,-0.6866496
90667529,1.2983067,-0.9785372,-0.6866496
90689796,1.2983111,-0.9785276,-0.6869308
90712517,1.2983067,-0.9785372,-0.6866496
90735142,1.2975953,-0.9785372,-0.68666095
