timestamp,main_state_changes,main_state
172186113,1,1
172690168,1,1
173196747,1,1
173696941,1,1
174205943,1,1
174715987,1,1
175227769,1,1
175404683,2,2
175914061,2,2
176414150,2,2
176915984,2,2
177425983,2,2
177936946,2,2
178447561,2,2
178956949,2,2
179466209,2,2
179975949,2,2
180487305,2,2
180997077,2,2
181507952,2,2
182010983,2,2
182514060,2,2
183014353,2,2
183514951,2,2
184016794,2,2
184526346,2,2
185035952,2,2
185536976,2,2
186036997,2,2
186547943,2,2
187057278,2,2
187567991,2,2
188078952,2,2
188587940,2,2
189088026,2,2
189597945,2,2
190097989,2,2
190608110,2,2
191117416,2,2
191617958,2,2
192121943,2,2
192624271,2,2
193132946,2,2
193633075,2,2
194141193,2,2
194649950,2,2
195154060,2,2
195659549,2,2
196170194,2,2
196676254,2,2
197186990,2,2
197695817,2,2
198209298,2,2
198710985,2,2
199211027,2,2
199720988,2,2
200222911,2,2
200732902,2,2
201242944,2,2
201742988,2,2
202252944,2,2
202465539,3,5
202974943,3,5
203475184,3,5
203983228,3,5
204494108,3,5
204994171,3,5
205502946,3,5
206002977,3,5
206505938,3,5
207005960,3,5
207518276,3,5
208020967,3,5
208527983,3,5
209037216,3,5
209540816,3,5
210041083,3,5
210546020,3,5
211049206,3,5
211552034,3,5
212052071,3,5
212555944,3,5
213067656,3,5
213578164,3,5
214086942,3,5
214596948,3,5
215100177,3,5
215611023,3,5
216112172,3,5
216620941,3,5
217120987,3,5
217621035,3,5
218131023,3,5
218642109,3,5
219151999,3,5
219262977,3,5
219774915,3,5
220285321,3,5
220795943,3,5
221239315,3,5
221747169,3,5
