timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
1332157414,1,0,100,95,97,37,56
1333084580,1,0,95,96,100,36,61
1334123417,1,0,101,95,100,40,60
1335178754,1,0,102,100,97,40,54
1336096423,1,0,100,93,100,41,53
1337122424,1,0,103,100,100,38,60
1338166426,1,0,119,111,100,44,46
1339101495,1,0,135,128,97,40,44
1340136452,1,0,139,135,100,35,67
1341172422,1,0,146,140,94,38,50
1342102274,1,0,141,139,98,37,65
1343130485,1,0,139,134,99,42,45
1344184602,1,0,141,137,97,42,43
1345107411,1,0,141,137,96,44,48
1346155414,1,0,131,125,90,45,52
1347101326,1,0,126,125,100,45,57
1348129115,1,0,145,145,97,49,55
1349157918,1,0,144,145,97,44,52
1350087476,1,0,145,144,100,45,44
1351163426,1,0,147,145,98,44,57
1352143531,1,0,146,145,100,53,53
1353089422,1,0,146,145,97,50,63
1354117883,1,0,150,148,100,45,49
1355153419,1,0,158,153,97,54,50
1356103420,1,0,145,140,100,48,48
1357128961,1,0,130,117,97,48,47
1358156469,1,0,126,122,100,55,58
1359102485,1,0,122,124,100,49,55
1360130411,1,0,141,134,100,50,53
1361154609,1,0,148,147,96,72,49
1362087531,1,0,148,142,100,65,47
1363118492,1,0,143,139,96,64,52
1364181196,1,0,139,133,83,43,55
1365090414,1,0,134,125,94,71,43
1366145423,1,0,127,120,97,62,59
1367170411,1,0,123,115,97,48,50
1368106466,1,0,116,116,97,74,60
1369144316,1,0,115,117,97,72,46
1370095418,1,0,122,122,100,84,65
1371112411,1,0,125,123,97,57,44
1372140495,1,0,126,121,99,65,55
1373083425,1,0,129,122,100,60,43
1374236530,1,0,129,126,97,71,60
1375147544,1,0,127,125,100,59,64
1376081030,1,0,130,124,98,67,60
1377097435,1,0,133,127,97,74,59
1378150640,1,0,144,141,100,66,48
1379078657,1,0,148,144,100,63,51
1380111355,1,0,148,143,100,70,53
1381160628,1,0,145,138,96,63,56
1382110421,1,0,143,137,95,71,49
1383131423,1,0,141,135,100,51,49
1384173425,1,0,138,133,96,50,53
1385097443,1,0,136,133,98,72,46
1386138929,1,0,139,134,100,66,51
1387088584,1,0,143,138,96,55,64
1388105436,1,0,143,138,100,61,45
1389130214,1,0,144,139,100,55,54
1390166425,1,0,147,140,100,46,54
1391105437,1,0,145,137,100,58,55
1392155417,1,0,145,138,97,54,51
1393176998,1,0,132,125,100,48,52
1394115416,1,0,140,136,98,65,60
1395148856,1,0,140,135,100,65,56
1396179427,1,0,140,135,96,62,46
1397102666,1,0,137,134,100,54,59
1398133422,1,0,128,120,100,56,68
1399198407,1,0,140,119,97,54,48
1400108366,1,0,136,133,96,57,60
1401152564,1,0,135,131,100,55,46
1402199420,1,0,138,131,97,40,56
1403123985,1,0,139,132,97,54,46
1404154430,1,0,136,134,100,40,58
1405116750,1,0,138,133,100,51,48
1406128411,1,0,136,130,97,49,50
1407160421,1,0,136,127,100,34,42
1408090458,1,0,137,131,97,41,55
1409128419,1,0,134,125,100,39,53
1410125747,1,0,134,126,100,35,61
1411086801,1,0,132,126,100,40,66
1412132992,1,0,131,125,97,42,54
1413156817,1,0,128,125,100,39,45
1414075786,1,0,130,124,97,54,65
1415131640,1,0,138,132,100,52,64
1416165443,1,0,137,134,99,32,54
1417093421,1,0,138,132,100,44,55
1418138421,1,0,131,135,92,50,51
1419189416,1,0,134,124,95,62,48
1420104808,1,0,134,129,96,45,44
1421156355,1,0,125,122,97,51,59
1422175615,1,0,126,119,100,64,57
1423150458,1,0,125,121,93,56,44
1424150473,1,0,127,123,100,48,51
1425087661,1,0,131,125,97,55,58
1426108414,1,0,135,130,100,35,47
1427139422,1,0,136,131,100,52,54
1428180509,1,0,138,133,100,33,58
1429116878,1,0,139,133,97,47,47
1430158879,1,0,140,135,100,45,55
1431084643,1,0,143,138,100,33,54
1432105666,1,0,144,138,100,42,47
1433152454,1,0,144,138,99,37,53
1434088423,1,0,134,129,100,35,50
1435119440,1,0,123,125,98,36,58
1436169417,1,0,108,103,87,37,43
1437089739,1,0,101,98,96,37,48
1438119795,1,0,110,104,96,39,52
1439176420,1,0,108,108,97,37,55
