timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,mode_switch,man_switch,acro_switch,stab_switch,posctl_switch
171567166,171559091,3,1,1,3,0,0,3,0,0,0,0,0,0,0
172567171,172559435,3,1,1,3,0,0,3,0,0,0,0,0,0,0
173567226,173559088,3,1,1,3,0,0,3,0,0,0,0,0,0,0
174575446,174567088,3,1,1,3,0,0,3,0,0,0,0,0,0,0
175367281,175359174,4,4,1,3,0,0,3,0,0,0,0,0,0,0
176375487,176367173,4,4,1,3,0,0,3,0,0,0,0,0,0,0
177384829,177375185,4,4,1,3,0,0,3,0,0,0,0,0,0,0
178391167,178383476,4,4,1,3,0,0,3,0,0,0,0,0,0,0
179392529,179379088,4,4,1,3,0,0,3,0,0,0,0,0,0,0
180395792,180387321,4,4,1,3,0,0,3,0,0,0,0,0,0,0
181407441,181395088,4,4,1,3,0,0,3,0,0,0,0,0,0,0
182415254,182403347,4,4,1,3,0,0,3,0,0,0,0,0,0,0
183423235,183411503,4,4,1,3,0,0,3,0,0,0,0,0,0,0
184431524,184419088,4,4,1,3,0,0,3,0,0,0,0,0,0,0
185439298,185427088,4,4,1,3,0,0,3,0,0,0,0,0,0,0
186444211,186435222,4,4,1,3,0,0,3,0,0,0,0,0,0,0
187455448,187443097,4,4,1,3,0,0,3,0,0,0,0,0,0,0
188463239,188451091,4,4,1,3,0,0,3,0,0,0,0,0,0,0
189471294,189459363,4,4,1,3,0,0,3,0,0,0,0,0,0,0
190479366,190467088,4,4,1,3,0,0,3,0,0,0,0,0,0,0
191488176,191475104,4,4,1,3,0,0,3,0,0,0,0,0,0,0
192495311,192483091,4,4,1,3,0,0,3,0,0,0,0,0,0,0
193503296,193489843,4,4,1,3,0,0,3,0,0,0,0,0,0,0
194511243,194499088,4,4,1,3,0,0,3,0,0,0,0,0,0,0
195519523,195507223,4,4,1,3,0,0,3,0,0,0,0,0,0,0
196527237,196515091,4,4,1,3,0,0,3,0,0,0,0,0,0,0
197536039,197523088,4,4,1,3,0,0,3,0,0,0,0,0,0,0
198544675,198531091,4,4,1,3,0,0,3,0,0,0,0,0,0,0
199547588,199539088,4,4,1,3,0,0,3,0,0,0,0,0,0,0
200559235,200547253,4,4,1,3,0,0,3,0,0,0,0,0,0,0
201567503,201555751,4,4,1,3,0,0,3,0,0,0,0,0,0,0
202447185,202439130,5,4,1,1,0,0,3,0,0,0,0,0,0,0
203447257,203439088,5,4,1,1,0,0,3,0,0,0,0,0,0,0
204448962,204435131,5,4,1,1,0,0,3,0,0,0,0,0,0,0
205456830,205443088,5,4,1,1,0,0,3,0,0,0,0,0,0,0
206463156,206451115,5,4,1,1,0,0,3,0,0,0,0,0,0,0
207471270,207459436,5,4,1,1,0,0,3,0,0,0,0,0,0,0
208477390,208467088,5,4,1,1,0,0,3,0,0,0,0,0,0,0
209487161,209475088,5,4,1,1,0,0,3,0,0,0,0,0,0,0
210495207,210483088,5,4,1,1,0,0,3,0,0,0,0,0,0,0
211504324,211491094,5,4,1,1,0,0,3,0,0,0,0,0,0,0
212511159,212499096,5,4,1,1,0,0,3,0,0,0,0,0,0,0
213519369,213507349,5,4,1,1,0,0,3,0,0,0,0,0,0,0
214527158,214515307,5,4,1,1,0,0,3,0,0,0,0,0,0,0
215535158,215524224,5,4,1,1,0,0,3,0,0,0,0,0,0,0
216543304,216531091,5,4,1,1,0,0,3,0,0,0,0,0,0,0
217551163,217539088,5,4,1,1,0,0,3,0,0,0,0,0,0,0
218556038,218547138,5,4,1,1,0,0,3,0,0,0,0,0,0,0
219567198,219555272,5,4,1,1,0,0,3,0,0,0,0,0,0,0
220575158,220563558,5,4,1,1,0,0,3,0,0,0,0,0,0,0
221583169,221571315,5,4,1,1,0,0,3,0,0,0,0,0,0,0
