timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
172176422,0,0,171,163,96,37,32
173184733,0,0,175,170,100,37,39
174109420,0,0,176,172,100,35,46
175139416,0,0,176,171,96,44,30
176182426,0,0,166,161,100,38,42
177096420,0,0,165,157,95,39,32
178141411,0,0,160,156,97,57,42
179193416,0,0,166,158,100,41,32
180108459,0,0,166,163,98,52,46
181141468,0,0,165,165,100,41,45
182181442,0,0,159,163,100,40,36
183112242,0,0,161,154,100,46,35
184142419,0,0,169,166,100,44,38
185201670,0,0,167,166,91,45,31
186117421,0,0,166,162,100,40,37
187146465,0,0,163,159,97,36,33
188080426,0,0,160,155,100,45,31
189117414,0,0,160,155,98,43,30
190204779,0,0,156,154,95,46,33
191093475,0,0,160,156,97,45,33
192133531,0,0,156,151,98,39,33
193172435,0,0,152,149,100,40,31
194088416,0,0,159,153,100,43,30
195141418,0,0,147,139,95,45,34
196167465,0,0,157,150,97,44,31
197103496,0,0,165,161,100,43,44
198139358,0,0,162,159,100,44,37
199079427,0,0,140,140,100,54,36
200083419,0,0,144,134,100,42,32
201141565,0,0,152,154,100,43,36
202178419,0,0,157,154,98,40,47
203110669,0,0,162,158,95,46,45
204145517,0,0,156,149,93,47,37
205184422,0,0,147,130,97,46,35
206102318,0,0,154,153,100,47,32
207145418,0,0,141,143,97,54,29
208088417,0,0,157,156,96,66,31
209119606,0,0,150,147,97,49,31
210155616,0,0,152,151,97,42,39
211092425,0,0,146,142,96,45,31
212106418,0,0,155,151,100,42,46
213164420,0,0,161,160,100,45,32
214088422,0,0,161,158,96,44,39
215121416,0,0,168,168,97,43,35
216174141,0,0,167,168,96,39,35
217093463,0,0,161,166,100,42,37
218126683,0,0,163,161,100,42,44
219173556,0,0,150,147,100,34,41
220095450,0,0,154,157,98,44,44
221123425,0,0,146,153,97,36,38
222172421,0,0,160,162,100,32,31
