timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
1332890533,-0.0033567222,0.0016671405,0.0017665916,4998,0,0.120976225,0.33526772,-9.815778,4998,0
1332900538,-0.0030799182,0.0014856289,0.0037435342,5015,0,0.13967884,0.34830955,-9.83134,5015,0
1332905511,-0.0036539882,0.0025683076,0.0024389722,4973,0,0.1532968,0.3338115,-9.837668,4973,0
1332910506,-0.0034006864,0.0035475548,0.0029778245,4995,0,0.12673432,0.34101525,-9.792059,4995,0
1332915500,-0.0042255702,0.0025276311,0.0014298898,4994,0,0.15336351,0.36279762,-9.804771,4994,0
1332920494,-0.0031273211,0.00086929987,0.0013937094,4994,0,0.13532935,0.35287037,-9.813942,4994,0
1332925489,-0.0043837186,0.0017520988,0.0015147544,4995,0,0.12248421,0.35111097,-9.818583,4995,0
1332930483,-0.0029365139,0.0044842134,0.0016865607,4994,0,0.11265142,0.34337625,-9.809212,4994,0
1332935477,-0.0025195566,0.0012919703,0.0031193474,4994,0,0.13857491,0.34886485,-9.8218775,4994,0
1332940471,-0.00392151,0.0021970086,0.0023517455,4994,0,0.15160039,0.31632018,-9.812,4994,0
1332945466,-0.0034441468,0.003720874,0.003198835,4995,0,0.13967721,0.34928343,-9.823305,4995,0
1332950460,-0.0038505096,0.0034531986,0.0022819047,4994,0,0.12609258,0.35858735,-9.797972,4994,0
1332955454,-0.003272158,0.0022865627,0.0020616795,4994,0,0.11267243,0.35327408,-9.815324,4994,0
1332960449,-0.0032792015,0.0033332421,0.0025958014,4995,0,0.14894783,0.3519377,-9.83042,4995,0
1332965443,-0.0046111783,0.004936053,0.0025820772,4994,0,0.15172245,0.34886575,-9.852273,4994,0
1332970441,-0.0034759345,0.0042514075,0.002145055,4998,0,0.1531618,0.36502278,-9.7961445,4998,0
1332975437,-0.0045617404,0.003381968,0.0023799797,4996,0,0.13356084,0.34382004,-9.820209,4996,0
1332980426,-0.0023506533,0.004497612,0.0028339394,4989,0,0.12399457,0.3557461,-9.800745,4989,0
1332985420,-0.004198498,0.0033465575,0.0025746627,4994,0,0.14077231,0.33564073,-9.796429,4994,0
1332990414,-0.003926404,0.0015683701,0.0030468395,4994,0,0.15022385,0.34546405,-9.827225,4994,0
