timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
42261262,-0.010131593,0.0029515426,-0.0014914384,5009,0,-0.29362598,0.33341864,-9.700707,5009,0
42266276,-0.008284635,0.00415961,-0.0009215767,5014,0,-0.2975765,0.34296012,-9.690608,5014,0
42271282,-0.009252563,0.00393178,-0.00095025107,5006,0,-0.29750624,0.32298404,-9.696181,5006,0
42276294,-0.009542058,0.003937914,-0.00222349,5012,0,-0.2648583,0.32081753,-9.703403,5012,0
42281302,-0.009782766,0.004621232,-0.0026794337,5008,0,-0.29856783,0.3260477,-9.717851,5008,0
42286313,-0.00881981,0.0021281089,-0.0014890333,5011,0,-0.2869342,0.32723114,-9.690653,5011,0
42291322,-0.008043107,0.0031857511,-0.0022718706,5009,0,-0.29421285,0.31129378,-9.696133,5009,0
42296335,-0.01004103,0.0031289994,-0.0019380156,5013,0,-0.29551697,0.3333574,-9.691597,5013,0
42301343,-0.0084697995,0.0027077803,-0.0010174375,5008,0,-0.2926662,0.3391304,-9.672606,5008,0
42306354,-0.009160103,0.0038063366,-0.002334796,5011,0,-0.30972114,0.31794563,-9.67569,5011,0
42311364,-0.008093735,0.0024617156,-0.0017771323,5010,0,-0.29900998,0.33530918,-9.690255,5010,0
42316374,-0.008677766,0.0025254244,1.4929134e-06,5010,0,-0.32291543,0.33990774,-9.699888,5010,0
42321384,-0.010274356,0.0036971164,-0.002095972,5010,0,-0.29375774,0.33998686,-9.698924,5010,0
42326394,-0.008085951,0.0023856498,-0.0012196925,5010,0,-0.3068491,0.33351892,-9.6964655,5010,0
42331405,-0.0091980845,0.0019793732,-0.002426267,5011,0,-0.29945108,0.32549658,-9.690862,5011,0
42336415,-0.0073574134,0.0015358495,-0.0018772274,5010,0,-0.2943527,0.3114941,-9.709015,5010,0
42341425,-0.008212575,0.0036179891,-0.0024467737,5010,0,-0.2930453,0.33220395,-9.6892,5010,0
42346437,-0.00910011,0.0042231586,-0.0017946388,5012,0,-0.30842653,0.31013548,-9.681774,5012,0
42351496,-0.008907256,0.0037566142,-0.0026171631,5059,0,-0.30195045,0.31915268,-9.684359,5059,0
42356477,-0.0094507495,0.0034325048,-0.0013332131,4981,0,-0.3033865,0.31072456,-9.694909,4981,0
42361466,-0.009314842,0.002316141,-0.0014399324,4989,0,-0.3090751,0.31936204,-9.704508,4989,0
42366481,-0.010283015,0.0042521,-0.0026588156,5015,0,-0.28625587,0.33319178,-9.69134,5015,0
42371487,-0.007145017,0.0032895452,-0.0031340318,5006,0,-0.29711068,0.3340801,-9.6959305,5006,0
42376503,-0.008427223,0.0029935401,-0.0022123582,5016,0,-0.2738475,0.31919554,-9.707032,5016,0
42381507,-0.009412348,0.0028579854,-0.00229973,5004,0,-0.2745124,0.34160957,-9.694522,5004,0
42386517,-0.0087619545,0.004065372,-0.0026182537,5010,0,-0.31923035,0.32898062,-9.709444,5010,0
42391528,-0.008181188,0.0029076678,-0.0017287546,5011,0,-0.29593146,0.33205342,-9.691521,5011,0
42396538,-0.008438841,0.0028567724,-0.0027055435,5010,0,-0.30500787,0.3305799,-9.683617,5010,0
42401549,-0.010173227,0.001610547,-0.00094908156,5011,0,-0.28628156,0.34354913,-9.692237,5011,0
42406559,-0.009506785,0.0032020407,-0.002329078,5010,0,-0.2867813,0.33185425,-9.719719,5010,0
42411569,-0.0074202446,0.0031552373,-0.0021928507,5010,0,-0.29526922,0.31589872,-9.703148,5010,0
42416579,-0.009027089,0.0019217929,-0.0014150523,5010,0,-0.30350837,0.32350984,-9.689055,5010,0
42421591,-0.009483043,0.0021577845,-0.00078252744,5012,0,-0.29815027,0.32856083,-9.700692,5012,0
