timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
587658912,1628803084200120,11010077,-235560044,-467301124,730367,725094,0.22200002,0.761607,0.671,1.279,0.74,1.29,70,41,0.040000003,-0.037,-0.015000001,0.033,6.005067,0,nan,0.0,3198,4,0,1,14
588454868,1628803085000121,11010077,-235560045,-467301124,730381,725108,0.19600001,0.76160985,0.67700005,1.2870001,0.74,1.29,69,10,0.017,0.010000001,-0.014,-0.004,6.005067,0,nan,0.0,3198,4,0,1,14
589457889,1628803086000122,11010077,-235560046,-467301125,730392,725119,0.266,0.7616142,0.68600005,1.3030001,0.74,1.29,69,25,0.009000001,0.003,-0.009000001,-0.029000001,6.005067,0,nan,0.0,3198,4,0,1,14
590456918,1628803087000123,11010077,-235560049,-467301126,730312,725039,0.25800002,0.7616183,0.694,1.32,0.74,1.29,65,43,0.042000003,-0.039,0.016,0.048,6.005067,0,nan,0.0,3198,4,0,1,14
591457876,1628803088000124,11010077,-235560050,-467301127,730237,724964,0.254,0.76162297,0.702,1.3360001,0.74,1.29,65,44,0.018000001,-0.002,0.018000001,0.058000002,6.005067,0,nan,0.0,3198,4,0,1,14
592459879,1628803089000124,11010077,-235560046,-467301128,730031,724758,0.231,0.7616271,0.69100004,1.32,0.74,1.29,65,38,0.004,0.002,0.003,-0.012,6.005067,0,nan,0.0,3354,4,0,1,14
593458876,1628803090000125,11010077,-235560048,-467301130,729913,724640,0.22800002,0.7616313,0.70000005,1.3340001,0.74,1.29,65,31,0.018000001,0.017,0.006,-0.004,6.005067,0,nan,0.0,3276,4,0,1,14
594457991,1628803091000126,11010077,-235560050,-467301132,729776,724503,0.25500003,0.76163566,0.70500004,1.3460001,0.74,1.29,65,25,0.015000001,0.014,-0.0050000004,-0.015000001,6.005067,0,nan,0.0,3276,4,0,1,14
595456987,1628803092000127,11010077,-235560053,-467301135,729690,724417,0.185,0.76163936,0.707,1.3490001,0.74,1.29,64,33,0.045,-0.044000003,0.012,-0.0050000004,6.005067,0,nan,0.0,3276,4,0,1,14
596460252,1628803093000128,11010077,-235560053,-467301137,729649,724376,0.20600002,0.7616428,0.71000004,1.3540001,0.74,1.29,64,44,0.028,0.025,-0.012,-0.011000001,6.005067,0,nan,0.0,3276,4,0,1,14
597455727,1628803094000129,11010077,-235560053,-467301138,729433,724160,0.172,0.7616466,0.698,1.338,0.74,1.29,64,42,0.022000002,0.012,-0.019000001,0.019000001,6.005067,0,nan,0.0,3510,4,0,1,14
