timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
86964611,0,800000.0,0.05,0.0,0.0,1.003912,0,0,0,0,4,5,0,0,0,1,44
87518980,87510652,1200.0,0.40324232,0.050597444,0.53573763,0.0,255,190,6,4,1,0,1,1,0,1,36
87964922,0,800000.0,0.05,0.0,0.0,0.60685915,0,0,0,0,4,5,0,0,0,1,44
88520957,87510652,1200.0,0.40324232,0.13020109,0.6547793,0.0,255,190,6,4,1,0,1,1,0,1,36
88572774,88570560,1200.0,0.40324232,0.13020109,0.6547793,0.0,255,190,6,4,1,0,1,1,0,1,36
88968048,0,800000.0,0.05,0.0,0.0,0.85424757,0,0,0,0,4,5,0,0,0,1,44
89575779,88570560,1200.0,0.40324232,0.05071705,0.4007641,0.0,255,190,6,4,1,0,1,1,0,1,36
89586024,89584578,1200.0,0.40324232,0.05071705,0.4007641,0.0,255,190,6,4,1,0,1,1,0,1,36
89970586,0,800000.0,0.05,0.0,0.0,0.60541195,0,0,0,0,4,5,0,0,0,1,44
90511799,90503551,1200.0,0.40324232,0.050613716,0.5636979,0.0,255,190,6,4,1,0,1,1,0,1,36
90970824,0,800000.0,0.05,0.0,0.0,1.0068197,0,0,0,0,4,5,0,0,0,1,44
91518832,90503551,1200.0,0.40324232,0.050648596,0.59785205,0.0,255,190,6,4,1,0,1,1,0,1,36
91560640,91553688,1200.0,0.40324232,0.050648596,0.59785205,0.0,255,190,6,4,1,0,1,1,0,1,36
91972195,0,800000.0,0.05,0.0,0.0,0.56120193,0,0,0,0,4,5,0,0,0,1,44
92561723,91553688,1200.0,0.40324232,0.1377376,0.6258078,0.0,255,190,6,4,1,0,1,1,0,1,36
92581666,92575613,1200.0,0.40324232,0.1377376,0.6258078,0.0,255,190,6,4,1,0,1,1,0,1,36
92974548,0,800000.0,0.05,0.0,0.0,0.89992744,0,0,0,0,4,5,0,0,0,1,44
93588951,92575613,1200.0,0.40324232,0.0726254,0.5312598,0.0,255,190,6,4,1,0,1,1,0,1,36
93628643,93625599,1200.0,0.40324232,0.0726254,0.5312598,0.0,255,190,6,4,1,0,1,1,0,1,36
93977606,0,800000.0,0.05,0.0,0.0,0.66302943,0,0,0,0,4,5,0,0,0,1,44
94577629,94570481,1200.0,0.40324232,0.050600007,0.42761967,0.0,255,190,6,4,1,0,1,1,0,1,36
94979460,0,800000.0,0.05,0.0,0.0,1.0599521,0,0,0,0,4,5,0,0,0,1,44
95574589,95569690,1200.0,0.40324232,0.13677788,0.8295876,0.0,255,190,6,4,1,0,1,1,0,1,36
95979772,0,800000.0,0.05,0.0,0.0,0.56181735,0,0,0,0,4,5,0,0,0,1,44
96574636,95569690,1200.0,0.40324232,0.050997905,0.77596813,0.0,255,190,6,4,1,0,1,1,0,1,36
96624926,96618808,1200.0,0.40324232,0.050997905,0.77596813,0.0,255,190,6,4,1,0,1,1,0,1,36
96980790,0,800000.0,0.05,0.0,0.0,0.8561421,0,0,0,0,4,5,0,0,0,1,44
97538761,97537587,1200.0,0.40324232,0.050692145,0.53674036,0.0,255,190,6,4,1,0,1,1,0,1,36
97982806,0,800000.0,0.05,0.0,0.0,0.6057775,0,0,0,0,4,5,0,0,0,1,44
98546811,97537587,1200.0,0.40324232,0.050600957,0.50799394,0.0,255,190,6,4,1,0,1,1,0,1,36
98566611,98561560,1200.0,0.40324232,0.050600957,0.50799394,0.0,255,190,6,4,1,0,1,1,0,1,36
98987370,0,800000.0,0.05,0.0,0.0,1.0024189,0,0,0,0,4,5,0,0,0,1,44
99484430,99481567,1200.0,0.40324232,0.050600957,0.50799394,0.0,255,190,6,4,1,0,1,1,0,1,36
99990216,0,800000.0,0.05,0.0,0.0,0.60541624,0,0,0,0,4,5,0,0,0,1,44
100489367,99481567,1200.0,0.40324232,0.067521475,0.47265032,0.0,255,190,6,4,1,0,1,1,0,1,36
100529746,100529576,1200.0,0.40324232,0.067521475,0.47265032,0.0,255,190,6,4,1,0,1,1,0,1,36
100992019,0,800000.0,0.05,0.0,0.0,0.8552604,0,0,0,0,4,5,0,0,0,1,44
101533782,100529576,1200.0,0.40324232,0.050685897,0.58139706,0.0,255,190,6,4,1,0,1,1,0,1,36
101563791,101556657,1200.0,0.40324232,0.03387213,0.51007444,0.0,255,190,6,4,1,0,1,1,0,1,36
101993643,0,800000.0,0.05,0.0,0.0,0.6209543,0,0,0,0,4,5,0,0,0,1,44
102572803,101556657,1200.0,0.40324232,0.05060829,0.56363744,0.0,255,190,6,4,1,0,1,1,0,1,36
102612781,102604610,1200.0,0.40324232,0.05060829,0.56363744,0.0,255,190,6,4,1,0,1,1,0,1,36
102995815,0,800000.0,0.05,0.0,0.0,0.98998135,0,0,0,0,4,5,0,0,0,1,44
103529140,103522491,1200.0,0.40324232,0.05060829,0.56363744,0.0,255,190,6,4,1,0,1,1,0,1,36
104000406,0,800000.0,0.05,0.0,0.0,0.5594394,0,0,0,0,4,5,0,0,0,1,44
104530842,103522491,1200.0,0.40324232,0.08926269,0.50185466,0.0,255,190,6,4,1,0,1,1,0,1,36
104552080,104548116,1200.0,0.40324232,0.08926269,0.50185466,0.0,255,190,6,4,1,0,1,1,0,1,36
105002238,0,800000.0,0.05,0.0,0.0,0.9102014,0,0,0,0,4,5,0,0,0,1,44
105556952,104548116,1200.0,0.40324232,0.050897133,0.5109673,0.0,255,190,6,4,1,0,1,1,0,1,36
105608584,105606490,1200.0,0.40324232,0.03383347,0.5821347,0.0,255,190,6,4,1,0,1,1,0,1,36
106006839,0,800000.0,0.05,0.0,0.0,0.6952849,0,0,0,0,4,5,0,0,0,1,44
106524907,106516535,1200.0,0.40324232,0.03383347,0.5821347,0.0,255,190,6,4,1,0,1,1,0,1,36
107008570,0,800000.0,0.05,0.0,0.0,0.86894923,0,0,0,0,4,5,0,0,0,1,44
