timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
29538016,29537402,-0.25081915,0.01117121,0.010738397,0.96791,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
29587936,29587335,-0.25079772,0.011076854,0.010716999,0.9679168,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
29637890,29637287,-0.25104678,0.011119713,0.010718417,0.9678518,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
29687838,29687239,-0.25106552,0.011032256,0.010697313,0.9678481,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
29737800,29737190,-0.24934466,0.011279123,0.010776914,0.96828914,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
29787770,29787146,-0.2497076,0.011440023,0.011311735,0.96818763,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
29842717,29842089,-0.24802843,0.010954836,0.014381058,0.96858406,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
29887682,29887056,-0.24620555,0.011503519,0.020141682,0.9689401,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
29937623,29937009,-0.24472365,0.011455242,0.03068524,0.96903956,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
29987584,29986953,-0.24310221,0.010005374,0.046480395,0.9688348,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
30037526,30036902,-0.24074847,0.007684302,0.06870002,0.96812266,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
30087541,30086869,-0.23769999,0.003113963,0.09523572,0.96665365,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
30137421,30136806,-0.2355846,-0.011009349,0.11168098,0.9653529,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
30192355,30191751,-0.23451181,-0.017370077,0.11315924,0.96534836,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
30237296,30236708,-0.2353445,-0.010124593,0.10933302,0.96568984,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
30287258,30286660,-0.23561232,-0.004969412,0.10415173,0.9662373,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
30337200,30336612,-0.23555323,-0.0035888483,0.10350429,0.9663275,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
