timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
30637752,0.5074433,-0.016482491,-0.0057335338,0.8615084,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
30642756,0.5074453,-0.016481292,-0.0057331338,0.8615074,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
30687858,0.50745803,-0.016492372,-0.005734208,0.8614996,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
30737971,0.5074703,-0.016484711,-0.005746139,0.86149246,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
30788083,0.50749063,-0.016475968,-0.005743415,0.8614806,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
30838196,0.50750804,-0.01647348,-0.0057393415,0.8614705,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
30888308,0.5075019,-0.016455457,-0.005745392,0.86147445,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
30938459,0.50747883,-0.016454332,-0.0057286574,0.86148804,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
30988534,0.50746727,-0.016447978,-0.0057205157,0.8614951,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
31038647,0.50744236,-0.016444212,-0.0057174824,0.8615098,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
31088760,0.50739676,-0.016434915,-0.0057319063,0.8615368,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
31138873,0.50734234,-0.016437639,-0.0057452647,0.86156875,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
31183977,0.5072996,-0.016429417,-0.0057420693,0.861594,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
31239100,0.5072669,-0.01642434,-0.0057282983,0.86161345,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
31289212,0.5072192,-0.016438525,-0.0057112854,0.86164135,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
31334312,0.507179,-0.016439764,-0.0057024816,0.8616651,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
31389437,0.5071438,-0.016426636,-0.005739375,0.8616859,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
31439549,0.50709707,-0.016408829,-0.0057611214,0.8617135,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
31489662,0.5070478,-0.016414734,-0.0057695154,0.8617424,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
31534787,0.5070082,-0.016431134,-0.005758374,0.8617654,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
31589888,0.50696677,-0.016444987,-0.0057410323,0.86178964,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
31640000,0.5069369,-0.016433828,-0.005723696,0.8618075,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
31685102,0.5068836,-0.016432282,-0.005732008,0.8618388,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
31740266,0.50682694,-0.016414825,-0.0057489416,0.8618724,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
31790339,0.506793,-0.016418787,-0.005762528,0.86189216,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
31835440,0.5067583,-0.016418558,-0.0057316213,0.8619129,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
31885553,0.50668615,-0.016427292,-0.005691647,0.8619553,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
31940677,0.506626,-0.016431957,-0.005667347,0.86199075,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
31985818,0.50658435,-0.016437212,-0.0056796744,0.862015,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
32035891,0.5065292,-0.016426947,-0.0056984476,0.8620475,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
32091015,0.506454,-0.016420309,-0.0057185683,0.8620917,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
32136119,0.5064073,-0.016411869,-0.005714556,0.8621193,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
32186230,0.5063458,-0.016419102,-0.0056973235,0.86215544,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
32236343,0.5062982,-0.016422857,-0.005677673,0.86218345,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
32286455,0.50624,-0.016421076,-0.0056820717,0.8622176,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
32336568,0.50620186,-0.01642366,-0.005688982,0.86223996,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
32386681,0.50616163,-0.016408736,-0.0056940448,0.86226386,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
32436794,0.50611556,-0.01640682,-0.005686656,0.86229086,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
32486906,0.5060599,-0.016416773,-0.0056667197,0.8623235,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
32537020,0.506012,-0.016428022,-0.005642168,0.8623516,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
32587152,0.5059756,-0.016415998,-0.0056302133,0.86237323,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
32637245,0.5059289,-0.016413776,-0.005636933,0.8624006,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
32687358,0.5058855,-0.016402245,-0.005639512,0.86242634,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
32737470,0.5058526,-0.016392581,-0.0056433333,0.8624457,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
32787602,0.50582343,-0.01637967,-0.0056338534,0.8624631,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
32837696,0.5057839,-0.016396645,-0.0056176246,0.8624861,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
32887809,0.5057494,-0.016387677,-0.0056022527,0.8625067,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
