timestamp,speed_xy,speed_up,speed_down,want_takeoff
796204859,12.0,3.0,1.0,0
796234470,12.0,3.0,1.0,0
797193345,12.0,3.0,1.0,0
798192726,12.0,3.0,1.0,0
799206140,12.0,3.0,1.0,0
800205029,12.0,3.0,1.0,0
801208951,12.0,3.0,1.0,0
802207567,12.0,3.0,1.0,1
803206786,12.0,3.0,1.0,0
804205424,12.0,3.0,1.0,0
805204587,12.0,3.0,1.0,0
806193236,12.0,3.0,1.0,0
807192247,12.0,3.0,1.0,0
808206009,12.0,3.0,1.0,1
809205063,12.0,3.0,1.0,0
810194085,12.0,3.0,1.0,1
811193062,12.0,3.0,1.0,1
812191682,12.0,3.0,1.0,1
813205795,12.0,3.0,1.0,1
814204609,12.0,3.0,1.0,1
815193268,12.0,3.0,1.0,1
816192955,12.0,3.0,1.0,1
817191143,12.0,3.0,1.0,1
818205040,12.0,3.0,1.0,0
819204550,12.0,3.0,1.0,0
820192880,12.0,3.0,1.0,0
821191773,12.0,3.0,1.0,0
822190538,12.0,3.0,1.0,0
823204392,12.0,3.0,1.0,0
824193943,12.0,3.0,1.0,0
825192801,12.0,3.0,1.0,0
826206048,12.0,3.0,1.0,0
827205209,12.0,3.0,1.0,0
828184490,12.0,3.0,1.0,0
829193461,12.0,3.0,1.0,0
830191679,12.0,3.0,1.0,0
831210732,12.0,3.0,1.0,0
832204347,12.0,3.0,1.0,0
833193505,12.0,3.0,1.0,0
834192741,12.0,3.0,1.0,0
835206189,12.0,3.0,1.0,0
836204846,12.0,3.0,1.0,0
837208703,12.0,3.0,1.0,0
838207725,12.0,3.0,1.0,0
839206452,12.0,3.0,1.0,0
840205361,12.0,3.0,1.0,0
841194474,12.0,3.0,1.0,0
842193036,12.0,3.0,1.0,0
843192505,12.0,3.0,1.0,0
844205732,12.0,3.0,1.0,0
845204625,12.0,3.0,1.0,0
846193501,12.0,3.0,1.0,0
847207408,12.0,3.0,1.0,0
848206172,12.0,3.0,1.0,0
849205020,12.0,3.0,1.0,0
850194186,12.0,3.0,1.0,0
851192769,12.0,3.0,1.0,0
852206620,12.0,3.0,1.0,0
853205496,12.0,3.0,1.0,0
854204326,12.0,3.0,1.0,0
855193285,12.0,3.0,1.0,0
856192747,12.0,3.0,1.0,0
857190983,12.0,3.0,1.0,0
858204853,12.0,3.0,1.0,1
859193899,12.0,3.0,1.0,1
860193077,12.0,3.0,1.0,0
861206992,12.0,3.0,1.0,1
862205158,12.0,3.0,1.0,1
863184660,12.0,3.0,1.0,1
864193179,12.0,3.0,1.0,0
865192066,12.0,3.0,1.0,1
866205502,12.0,3.0,1.0,1
867204421,12.0,3.0,1.0,0
868193477,12.0,3.0,1.0,0
869192261,12.0,3.0,1.0,0
870205867,12.0,3.0,1.0,0
871205052,12.0,3.0,1.0,0
872193559,12.0,3.0,1.0,0
873192992,12.0,3.0,1.0,0
874192024,12.0,3.0,1.0,0
875205043,12.0,3.0,1.0,0
876193887,12.0,3.0,1.0,0
877192789,12.0,3.0,1.0,0
878206514,12.0,3.0,1.0,0
879205618,12.0,3.0,1.0,0
880194454,12.0,3.0,1.0,0
881192995,12.0,3.0,1.0,0
882192085,12.0,3.0,1.0,0
883205601,12.0,3.0,1.0,0
884204468,12.0,3.0,1.0,0
885193241,12.0,3.0,1.0,0
886192710,12.0,3.0,1.0,0
887206223,12.0,3.0,1.0,0
888204673,12.0,3.0,1.0,0
889193768,12.0,3.0,1.0,0
890192385,12.0,3.0,1.0,0
891191134,12.0,3.0,1.0,0
892204888,12.0,3.0,1.0,0
893193978,12.0,3.0,1.0,0
894192655,12.0,3.0,1.0,0
895206273,12.0,3.0,1.0,0
896205170,12.0,3.0,1.0,0
897194212,12.0,3.0,1.0,0
898192857,12.0,3.0,1.0,0
899192095,12.0,3.0,1.0,0
900205272,12.0,3.0,1.0,0
901194452,12.0,3.0,1.0,0
902192945,12.0,3.0,1.0,0
903206926,12.0,3.0,1.0,0
904205464,12.0,3.0,1.0,0
905204279,12.0,3.0,1.0,0
906193045,12.0,3.0,1.0,0
907191909,12.0,3.0,1.0,0
908205614,12.0,3.0,1.0,0
909204434,12.0,3.0,1.0,0
910193490,12.0,3.0,1.0,0
911192130,12.0,3.0,1.0,1
912206028,12.0,3.0,1.0,1
913204572,12.0,3.0,1.0,1
914193355,12.0,3.0,1.0,0
915192269,12.0,3.0,1.0,0
916205914,12.0,3.0,1.0,1
917204701,12.0,3.0,1.0,1
918193504,12.0,3.0,1.0,0
919192365,12.0,3.0,1.0,0
920206036,12.0,3.0,1.0,0
921204820,12.0,3.0,1.0,0
922193625,12.0,3.0,1.0,0
923193065,12.0,3.0,1.0,0
924206461,12.0,3.0,1.0,0
925204975,12.0,3.0,1.0,1
926193759,12.0,3.0,1.0,0
927192646,12.0,3.0,1.0,0
928206579,12.0,3.0,1.0,0
929205092,12.0,3.0,1.0,0
930193945,12.0,3.0,1.0,0
931192743,12.0,3.0,1.0,1
932191834,12.0,3.0,1.0,1
933205215,12.0,3.0,1.0,1
934194131,12.0,3.0,1.0,1
935192788,12.0,3.0,1.0,1
936206548,12.0,3.0,1.0,1
937205690,12.0,3.0,1.0,1
938194408,12.0,3.0,1.0,1
939192966,12.0,3.0,1.0,0
940191725,12.0,3.0,1.0,1
941205676,12.0,3.0,1.0,1
942184863,12.0,3.0,1.0,1
943193249,12.0,3.0,1.0,0
944191782,12.0,3.0,1.0,0
945205643,12.0,3.0,1.0,0
946204255,12.0,3.0,1.0,0
947193036,12.0,3.0,1.0,0
948192088,12.0,3.0,1.0,0
949205811,12.0,3.0,1.0,0
950204578,12.0,3.0,1.0,0
951208268,12.0,3.0,1.0,0
952206810,12.0,3.0,1.0,0
953205854,12.0,3.0,1.0,0
954204436,12.0,3.0,1.0,0
955208404,12.0,3.0,1.0,0
956207032,12.0,3.0,1.0,0
957209226,12.0,3.0,1.0,0
958204406,12.0,3.0,1.0,0
959196585,12.0,3.0,1.0,0
960207189,12.0,3.0,1.0,0
961205837,12.0,3.0,1.0,0
962204393,12.0,3.0,1.0,0
963206574,12.0,3.0,1.0,0
964192029,12.0,3.0,1.0,0
965205616,12.0,3.0,1.0,0
966204401,12.0,3.0,1.0,0
967193417,12.0,3.0,1.0,0
968192092,12.0,3.0,1.0,0
969205851,12.0,3.0,1.0,0
