timestamp,flag_armed,flag_external_manual_override_ok,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_yawrate_override_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
42202924,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
42707133,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
43215108,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
43723376,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
44230130,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
44736077,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
45245321,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
45753228,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
46262073,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
46768280,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
47276097,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
47783424,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
48289812,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
48795322,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
49302069,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
49808109,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
50317079,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
50825080,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
51331255,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
51839076,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
52346161,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
52853213,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
53360416,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
53867135,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
54373177,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
54880073,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
55387108,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
55894178,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
56400187,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
56907505,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
57415095,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
57922109,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
58429077,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
58936428,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
59443418,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
59949107,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
60457076,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
60963178,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
61470177,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
61976093,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
62483692,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
62990336,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
63498078,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
64007117,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
64513658,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
65022075,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
65530133,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
66038253,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
66545076,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
67053437,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
67561138,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
68067152,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
68575110,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
68675276,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
69181364,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
69690074,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
70197077,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
70704090,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
71210109,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
71717197,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
72225134,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
72732089,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
73239078,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
73691367,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
74192203,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
