timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
256282026,1,0,0,1,0,0,1,1,0,0,0,0,0,0
256791155,1,0,0,1,0,0,1,1,0,0,0,0,0,0
257293331,1,0,0,1,0,0,1,1,0,0,0,0,0,0
257800937,1,0,0,1,0,0,1,1,0,0,0,0,0,0
258311626,1,0,0,1,0,0,1,1,0,0,0,0,0,0
258818986,1,0,0,1,0,0,1,1,0,0,0,0,0,0
259331024,1,0,0,1,0,0,1,1,0,0,0,0,0,0
259837929,1,0,0,1,0,0,1,1,0,0,0,0,0,0
260347933,1,0,0,1,0,0,1,1,0,0,0,0,0,0
260856939,1,0,0,1,0,0,1,1,0,0,0,0,0,0
261366927,1,0,0,1,0,0,1,1,0,0,0,0,0,0
261875617,1,0,0,1,0,0,1,1,0,0,0,0,0,0
262386022,1,0,0,1,0,0,1,1,0,0,0,0,0,0
262886166,1,0,0,1,0,0,1,1,0,0,0,0,0,0
263394344,1,0,0,1,0,0,1,1,0,0,0,0,0,0
263905355,1,0,0,1,0,0,1,1,0,0,0,0,0,0
264415969,1,0,0,1,0,0,1,1,0,0,0,0,0,0
264916304,1,0,0,1,0,0,1,1,0,0,0,0,0,0
265428545,1,0,0,1,0,0,1,1,0,0,0,0,0,0
265928934,1,0,0,1,0,0,1,1,0,0,0,0,0,0
266430974,1,0,0,1,0,0,1,1,0,0,0,0,0,0
266937096,1,0,0,1,0,0,1,1,0,0,0,0,0,0
267439930,1,0,0,1,0,0,1,1,0,0,0,0,0,0
267951810,1,0,0,1,0,0,1,1,0,0,0,0,0,0
268461980,1,0,0,1,0,0,1,1,0,0,0,0,0,0
268971938,1,0,0,1,0,0,1,1,0,0,0,0,0,0
269472009,1,0,0,1,0,0,1,1,0,0,0,0,0,0
269981932,1,0,0,1,0,0,1,1,0,0,0,0,0,0
270493814,1,0,0,1,0,0,1,1,0,0,0,0,0,0
271003608,1,0,0,1,0,0,1,1,0,0,0,0,0,0
271514147,1,0,0,1,0,0,1,1,0,0,0,0,0,0
272023015,1,0,0,1,0,0,1,1,0,0,0,0,0,0
272534220,1,0,0,1,0,0,1,1,0,0,0,0,0,0
273042928,1,0,0,1,0,0,1,1,0,0,0,0,0,0
273551934,1,0,0,1,0,0,1,1,0,0,0,0,0,0
274062045,1,0,0,1,0,0,1,1,0,0,0,0,0,0
274571983,1,0,0,1,0,0,1,1,0,0,0,0,0,0
275075592,1,0,0,1,0,0,1,1,0,0,0,0,0,0
275585935,1,0,0,1,0,0,1,1,0,0,0,0,0,0
276095930,1,0,0,1,0,0,1,1,0,0,0,0,0,0
276596560,1,0,0,1,0,0,1,1,0,0,0,0,0,0
277106933,1,0,0,1,0,0,1,1,0,0,0,0,0,0
277616978,1,0,0,1,0,0,1,1,0,0,0,0,0,0
278126927,1,0,0,1,0,0,1,1,0,0,0,0,0,0
278626935,1,0,0,1,0,0,1,1,0,0,0,0,0,0
279135968,1,0,0,1,0,0,1,1,0,0,0,0,0,0
279646935,1,0,0,1,0,0,1,1,0,0,0,0,0,0
280147427,1,0,0,1,0,0,1,1,0,0,0,0,0,0
280656935,1,0,0,1,0,0,1,1,0,0,0,0,0,0
281166969,1,0,0,1,0,0,1,1,0,0,0,0,0,0
281675950,1,0,0,1,0,0,1,1,0,0,0,0,0,0
282186145,1,0,0,1,0,0,1,1,0,0,0,0,0,0
282695052,1,0,0,1,0,0,1,1,0,0,0,0,0,0
283205190,1,0,0,1,0,0,1,1,0,0,0,0,0,0
283714067,1,0,0,1,0,0,1,1,0,0,0,0,0,0
284215308,1,0,0,1,0,0,1,1,0,0,0,0,0,0
284723934,1,0,0,1,0,0,1,1,0,0,0,0,0,0
285224216,1,0,0,1,0,0,1,1,0,0,0,0,0,0
285732992,1,0,0,1,0,0,1,1,0,0,0,0,0,0
286243071,1,0,0,1,0,0,1,1,0,0,0,0,0,0
286743968,1,0,0,1,0,0,1,1,0,0,0,0,0,0
287255773,1,0,0,1,0,0,1,1,0,0,0,0,0,0
287765985,1,0,0,1,0,0,1,1,0,0,0,0,0,0
288276310,1,0,0,1,0,0,1,1,0,0,0,0,0,0
288786932,1,0,0,1,0,0,1,1,0,0,0,0,0,0
289297477,1,0,0,1,0,0,1,1,0,0,0,0,0,0
289807929,1,0,0,1,0,0,1,1,0,0,0,0,0,0
290317934,1,0,0,1,0,0,1,1,0,0,0,0,0,0
