timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
63449733,-23.55600761961135,-46.73020940270823,716.22455,712.73315,-0.0,0.5614299,0.89653236,716.12506,2,0,1,0
63459752,-23.5560076196311,-46.730209402445965,716.2245,712.7331,-0.0,0.56177723,0.89682114,716.125,2,0,1,0
63650224,-23.55600762258791,-46.73020938839433,716.2232,712.75183,-0.0,0.5614386,0.8962709,716.1269,2,0,1,0
63850718,-23.55600762793195,-46.73020936944528,716.22424,712.77325,-0.0,0.56144613,0.89705145,716.12823,2,0,1,0
64051214,-23.556007630203812,-46.730209356097696,716.225,712.79486,-0.0,0.56141055,0.8967843,716.1257,2,0,1,0
64251711,-23.55600763722799,-46.730209344290095,716.22437,712.8126,-0.0,0.5614621,0.8965215,716.12836,2,0,1,0
64452206,-23.556007644751787,-46.730209327305566,716.2268,712.8355,-0.0,0.5614668,0.89730376,716.13184,2,0,1,0
64652703,-23.556007656613662,-46.73020931154992,716.2295,712.8581,-0.0,0.56151295,0.8970385,716.1328,2,0,1,0
64843173,-23.55600766814478,-46.73020930024201,716.2317,712.8805,-0.0,0.5611676,0.89648414,716.1359,2,0,1,0
65043669,-23.556007680161315,-46.730209282450794,716.23517,712.9058,-0.0,0.561125,0.8962177,716.138,2,0,1,0
65244165,-23.556007688141747,-46.73020926275529,716.2366,712.9252,-0.0,0.56116915,0.89699805,716.1348,2,0,1,0
65454686,-23.55600768447001,-46.73020924001227,716.2357,712.9444,-0.0,0.56155455,0.8970241,716.1322,2,0,1,0
65645157,-23.556007685374553,-46.73020922450748,716.23474,712.96234,-0.0,0.561287,0.8964771,716.134,2,0,1,0
65845653,-23.556007693965984,-46.730209211768944,716.2357,712.9844,-0.0,0.5613156,0.896218,716.1388,2,0,1,0
66046149,-23.55600769728147,-46.73020920145074,716.2382,713.007,-0.0,0.5613408,0.8969962,716.1392,2,0,1,0
66246644,-23.556007699424686,-46.730209184001026,716.23883,713.0277,-0.0,0.56136286,0.89673465,716.13715,2,0,1,0
66447143,-23.556007709066524,-46.73020916513209,716.2388,713.04736,-0.0,0.5613821,0.89647144,716.1368,2,0,1,0
66647636,-23.556007714301405,-46.73020914514742,716.23975,713.0686,-0.0,0.5613988,0.8972516,716.13916,2,0,1,0
66848132,-23.556007723222976,-46.73020912817575,716.2416,713.0899,-0.0,0.5614131,0.89698607,716.14307,2,0,1,0
67048629,-23.556007732318733,-46.7302091112111,716.2444,713.1127,-0.0,0.56146747,0.89672554,716.14435,2,0,1,0
67249123,-23.55600773535836,-46.73020909947192,716.249,713.13745,-0.0,0.561474,0.8964639,716.1533,2,0,1,0
67449619,-23.55600772959644,-46.73020908457618,716.25446,713.16296,-0.0,0.56147915,0.89724517,716.15674,2,0,1,0
67650117,-23.556007724201475,-46.730209059606665,716.25885,713.18695,-0.0,0.5615251,0.89697,716.1574,2,0,1,0
67850612,-23.556007719879165,-46.73020903363311,716.2615,713.2098,-0.0,0.5615663,0.8977397,716.15985,2,0,1,0
68051107,-23.556007715975102,-46.73020900563626,716.26324,713.2316,-0.0,0.56160283,0.89744276,716.1584,2,0,1,0
68251603,-23.55600771603379,-46.73020897461413,716.2633,713.2517,-0.0,0.5616352,0.89714974,716.1571,2,0,1,0
68452099,-23.556007715406874,-46.730208941776006,716.26404,713.27167,-0.0,0.561706,0.8968636,716.16254,2,0,1,0
68652639,-23.55600771412381,-46.73020890661753,716.26447,713.29297,-0.0,0.56172705,0.8976282,716.15765,2,0,1,0
68853091,-23.55600770631267,-46.73020886653094,716.26166,713.3102,-0.0,0.561745,0.89733934,716.15295,2,0,1,0
69043561,-23.55600769786912,-46.730208825404624,716.25854,713.32983,-0.0,0.56128633,0.8967526,716.1523,2,0,1,0
69244057,-23.556007692094433,-46.730208780672065,716.2594,713.3479,-0.0,0.5613106,0.89751565,716.1594,2,0,1,0
69444554,-23.556007688695857,-46.73020873465332,716.2618,713.3703,-0.0,0.5613322,0.897228,716.1596,2,0,1,0
69645079,-23.55600768555155,-46.730208693721444,716.2619,713.3903,-0.0,0.5613515,0.89694387,716.1578,2,0,1,0
69845544,-23.556007684424536,-46.73020864959002,716.26166,713.4097,-0.0,0.5613686,0.89666307,716.157,2,0,1,0
70046040,-23.55600768038001,-46.730208604679994,716.25977,713.42847,-0.0,0.56138366,0.8974311,716.1541,2,0,1,0
70246549,-23.556007675547406,-46.730208569458355,716.2552,713.4438,-0.0,0.5613969,0.89715004,716.14575,2,0,1,0
70447031,-23.556007665912375,-46.730208529167975,716.2518,713.4604,-0.0,0.56140846,0.8968721,716.1473,2,0,1,0
70647538,-23.55600765144481,-46.73020849059709,716.24994,713.47864,-0.0,0.5614186,0.8965937,716.14636,2,0,1,0
70848024,-23.556007636031996,-46.73020845081312,716.2483,713.497,-0.0,0.56142735,0.89736223,716.14825,2,0,1,0
71048518,-23.556007618524774,-46.73020841037128,716.24835,713.5184,-0.0,0.5613928,0.89708024,716.14764,2,0,1,0
71249014,-23.556007599962467,-46.730208365917946,716.2477,713.5367,-0.0,0.56140316,0.8968042,716.146,2,0,1,0
71449510,-23.556007584879797,-46.73020832488696,716.24756,713.5563,-0.0,0.5614124,0.8965275,716.1452,2,0,1,0
71650044,-23.556007576094874,-46.73020828720697,716.24756,713.5771,-0.0,0.5613786,0.89729667,716.15045,2,0,1,0
71850501,-23.556007565617506,-46.73020825216896,716.24786,713.5967,-0.0,0.5613896,0.89702266,716.14374,2,0,1,0
72050998,-23.556007555272334,-46.73020821689265,716.2443,713.613,-0.0,0.56139964,0.8967512,716.13916,2,0,1,0
72251492,-23.556007544525784,-46.730208180265535,716.2407,713.6292,-0.0,0.56145066,0.8964784,716.1353,2,0,1,0
72451988,-23.556007533575933,-46.730208139870186,716.2369,713.64435,-0.0,0.561539,0.8972564,716.13367,2,0,1,0
72652484,-23.556007524144334,-46.730208099132454,716.2342,713.66284,-0.0,0.56157714,0.8969863,716.1353,2,0,1,0
72852979,-23.556007516056898,-46.73020806363072,716.23517,713.68353,-0.0,0.5616112,0.89671516,716.13794,2,0,1,0
73043450,-23.556007507269722,-46.73020803294454,716.23425,713.70496,-0.0,0.5612114,0.8971973,716.1308,2,0,1,0
73243945,-23.556007490566643,-46.73020800792882,716.23315,713.7216,-0.0,0.5612454,0.89692914,716.1335,2,0,1,0
73444441,-23.55600748097333,-46.730207985090495,716.23157,713.7403,-0.0,0.5612757,0.8966634,716.1305,2,0,1,0
73644938,-23.55600747526388,-46.73020796288371,716.22974,713.75854,-0.0,0.5613028,0.89639646,716.1305,2,0,1,0
73845431,-23.556007470809774,-46.73020794280811,716.2258,713.7736,-0.0,0.5613686,0.89717805,716.1216,2,0,1,0
74045927,-23.55600746726183,-46.73020792661769,716.2209,713.7896,-0.0,0.5613859,0.89691293,716.118,2,0,1,0
74246424,-23.556007472223406,-46.73020791734183,716.2163,713.8047,-0.0,0.5614008,0.89664996,716.11646,2,0,1,0
74446918,-23.556007483830445,-46.73020790573247,716.21246,713.8207,-0.0,0.5614134,0.8963855,716.11346,2,0,1,0
