timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
1332812324,inf,0,1,1,1,0,0,1,0,0,1
1333815604,inf,0,1,1,1,0,0,1,0,0,1
1334824755,inf,0,1,1,1,0,0,1,0,0,1
1335154129,inf,0,1,1,1,1,0,1,0,0,1
1336152965,inf,0,1,0,0,1,0,1,0,0,1
1336163173,inf,0,0,0,0,1,0,1,0,0,1
1337167401,inf,0,0,0,0,1,0,0,1,0,1
1338175689,inf,0,0,0,0,1,0,0,1,0,1
1339184601,inf,0,0,0,0,1,0,0,1,0,1
1340188584,inf,0,0,0,0,1,0,0,0,0,1
1341157344,inf,0,0,0,0,0,0,0,0,0,1
1342166088,inf,0,0,0,0,0,0,0,0,0,1
1343175036,inf,0,0,0,0,0,0,0,0,0,1
1344183767,inf,0,0,0,0,0,0,0,1,0,1
1345192763,inf,0,0,0,0,0,0,0,1,0,1
1346196388,inf,0,0,0,0,0,0,0,1,1,1
1347209271,inf,0,0,0,0,0,0,0,1,1,1
1348214305,inf,0,0,0,0,0,0,0,0,0,1
1349226852,inf,0,0,0,0,0,0,0,0,0,1
1350235507,inf,0,0,0,0,0,0,0,0,0,1
1351235776,inf,0,0,0,0,0,0,0,0,0,1
1352245220,inf,0,0,0,0,0,0,0,0,0,1
1353246917,inf,0,0,0,0,0,0,0,1,1,1
1354247667,inf,0,0,0,0,0,0,0,0,1,1
1355256077,inf,0,0,0,0,0,0,0,0,1,1
1356264971,inf,0,0,0,0,0,0,0,0,1,1
1357267466,inf,0,0,0,0,0,0,0,0,0,1
1358276189,inf,0,0,0,0,0,0,0,0,0,1
1359276229,inf,0,0,0,0,0,0,0,0,1,1
1360278623,inf,0,0,0,0,0,0,0,0,1,1
1361287868,inf,0,0,0,0,0,0,0,0,1,1
1362294095,inf,0,0,0,0,0,0,0,0,1,1
1363301095,inf,0,0,0,0,0,0,0,0,1,1
1364305504,inf,0,0,0,0,0,0,0,0,1,1
1365308337,inf,0,0,0,0,0,0,0,1,1,1
1366308481,inf,0,0,0,0,0,0,0,0,1,1
1367310625,inf,0,0,0,0,0,0,0,0,1,1
1368315678,inf,0,0,0,0,0,0,0,1,0,1
1369319272,inf,0,0,0,0,0,0,0,1,1,1
1370328388,inf,0,0,0,0,0,0,0,0,1,1
1371336912,inf,0,0,0,0,0,0,0,0,1,1
1372346254,inf,0,0,0,0,0,0,1,0,1,1
