timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
1728673211,inf,0,1,1,1,1,0,1,0,0,1
1729681966,inf,0,1,1,1,1,0,1,0,0,1
1729971665,inf,0,1,0,0,1,0,1,0,0,1
1730081490,inf,0,0,0,0,1,0,0,0,0,1
1731086046,inf,0,0,0,0,1,0,0,0,0,1
1732094592,inf,0,0,0,0,1,0,0,1,0,1
1733104512,inf,0,0,0,0,1,0,0,1,0,1
1734113095,inf,0,0,0,0,1,0,1,1,1,1
1734981705,inf,0,0,0,0,0,0,1,1,1,1
1735985234,inf,0,0,0,0,0,0,1,0,0,1
1736214949,inf,0,1,0,0,0,0,1,0,0,1
1736974494,inf,0,0,0,0,0,0,1,1,0,1
1737982858,inf,0,0,0,0,0,0,1,1,0,1
1738991678,inf,0,0,0,0,0,0,1,0,0,1
1739486329,inf,0,1,0,0,0,0,1,0,0,1
