timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
78771570,27859606,-23.5560247,-46.730224299999996,1.7084488,-0.8400596,0.21601856,-0.006160215,0.0002531406,0.0,-0.017669,-0.0049321055,0.0035232906,0.0013837378,-0.0015272251,-0.006092711,-0.008091494,0.0028244138,0.021221869,0.018386684,1.8822947,-0.010638339,720.35876,0.10121241,0.24577205,0.3881655,0.12837903,0.104790434,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
78781592,27859606,-23.5560247,-46.730224299999996,1.7081504,-0.8403933,0.21608964,-0.006160215,0.0002531406,0.0,-0.017475888,-0.0047237673,0.0036847466,0.0016013248,-0.0015272251,-0.006092711,-0.008091494,0.0058146063,0.047293335,0.018724998,1.8822755,-0.010638339,720.35876,0.1011675,0.24663049,0.388829,0.12882864,0.10498499,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
78871799,27859606,-23.5560247,-46.730224299999996,1.7056402,-0.8428777,0.21627448,-0.006160215,0.0002531406,0.0,-0.017983684,-0.0038298583,0.003915712,0.0018528557,-0.0015272251,-0.006092711,-0.008091494,0.010265079,-0.0047986014,0.012232556,1.8822042,-0.010638339,720.35876,0.1,0.25459623,0.39245415,0.13289392,0.10647519,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
78972029,27859606,-23.5560247,-46.730224299999996,1.7021811,-0.8458114,0.2163799,-0.006160215,0.0002531406,0.0,-0.018873597,-0.002779961,0.0040168795,0.0018588877,-0.0015272251,-0.006092711,-0.008091494,-0.008364896,0.0061726244,-0.00018104848,1.8821083,-0.010638339,720.35876,0.1,0.24581456,0.38995132,0.12839289,0.10499266,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
79072260,27859606,-23.5560247,-46.730224299999996,1.698752,-0.8481735,0.21671417,-0.006160215,0.0002531406,0.0,-0.020000868,-0.00203844,0.0044863233,0.0024298634,-0.0015272251,-0.006092711,-0.008091494,-0.0028829037,0.019844042,-0.0020134973,1.8821411,-0.010638339,720.35876,0.1,0.2546408,0.3918107,0.13290915,0.10641103,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
79172488,27859606,-23.5560247,-46.730224299999996,1.6955029,-0.85133576,0.21707848,-0.006160215,0.0002531406,0.0,-0.020722441,-0.0014110354,0.004585218,0.0026653123,-0.0015272251,-0.006092711,-0.008091494,-0.017952967,-0.0023022192,-0.0069847833,1.8822935,-0.010638339,720.35876,0.1002332,0.24581206,0.38932484,0.12839493,0.10493232,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
79272719,27859606,-23.5560247,-46.730224299999996,1.6925535,-0.8541171,0.2182481,-0.006160215,0.0002531406,0.0,-0.020559082,-0.0015169686,0.004918256,0.0038962008,-0.0015272251,-0.006092711,-0.008091494,0.016711518,-0.029932035,0.011211859,1.8825561,-0.010638339,720.35876,0.1025565,0.2546385,0.39118102,0.13291223,0.10634936,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
79372949,27859606,-23.5560247,-46.730224299999996,1.6894495,-0.85699046,0.21925145,-0.006160215,0.0002531406,0.0,-0.021097891,-0.0011007672,0.0051306835,0.004693224,-0.0015272251,-0.006092711,-0.008091494,-0.016068494,0.01767095,-0.0090303505,1.8827791,-0.010638339,720.35876,0.10073781,0.24581006,0.3886952,0.12839858,0.10486983,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
79473180,27859606,-23.5560247,-46.730224299999996,1.6865039,-0.85927576,0.22008874,-0.006160215,0.0002531406,0.0,-0.021290125,-0.0007395655,0.0056984285,0.0055922894,-0.0015272251,-0.006092711,-0.008091494,-0.010039521,-0.02164353,0.0071477587,1.8830236,-0.010638339,720.35876,0.101135954,0.25463685,0.39053965,0.13291608,0.1062831,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
79573412,27859606,-23.5560247,-46.730224299999996,1.6833678,-0.8620323,0.22181685,-0.006160215,0.0002531406,0.0,-0.02136825,-0.00021215985,0.005897339,0.0069365795,-0.0015272251,-0.006092711,-0.008091494,0.0011845368,0.0029961304,0.004982477,1.8832349,-0.010638339,720.35876,0.104512766,0.2458086,0.38807085,0.12840109,0.104807466,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
